name,freq_in_corpus
Тимошенко,0.06922807555878911
Порошенко,0.05871816737456761
Ющенко,0.03956927675376412
Шевченко,0.02739411467569232
Луценко,0.025640806722986374
Кличко,0.018439488384256353
Хмельницький,0.01373133598013813
Савченко,0.011629379829275267
Кучма,0.010303599180983227
Литвин,0.009496075923752675
Яценюк,0.008943667320297659
Медведчук,0.007743277690644542
Геращенко,0.005970345533811868
Лисенко,0.0059079048842863875
Гриценко,0.00552115514691938
Мороз,0.0050132195775141435
Бондаренко,0.0047124850206159115
Мельник,0.004527839099876276
Власенко,0.004342810889445668
Попов,0.0043332536471713595
Ляшко,0.004296298977044035
Томенко,0.004097890627429396
Шеремет,0.003969441291262692
Симоненко,0.003950071946920095
Кравчук,0.0038850826994547977
Кириленко,0.0037060436941827573
Бандера,0.00363264407351607
Грушевський,0.0035295532868505316
Мельниченко,0.003464309179591254
Садовий,0.0034139743702798968
Олійник,0.0031435681288654693
Супрун,0.0030686393494348922
Клименко,0.003052583182414055
Ткаченко,0.0030025032328966795
Мазепа,0.002915978332839942
Іванов,0.0029008141750980396
Усик,0.002859399458576037
Москаль,0.0028291985729892227
Коваль,0.0028289437131952416
Марченко,0.0027917341832739344
Козак,0.002776060305944069
Лазаренко,0.002771090539961429
Пінчук,0.0027291661038514633
Тягнибок,0.0026866045182565436
Петренко,0.002595492141908138
Чорновол,0.002550127098579422
Данилюк,0.002517122755258811
Коваленко,0.002452643227381478
Шуфрич,0.002444232854180087
Мартиненко,0.0024279218273652674
Костенко,0.002387144260328219
Грищенко,0.002372234962380298
Курченко,0.002365353747942796
Тимчук,0.002361403421136082
Ситник,0.002279720857164994
Вітренко,0.0022623903911742483
Павленко,0.00223970786950989
Омельченко,0.0022135847406267806
Тарасюк,0.002168092267401074
Корбан,0.002103740169420731
Шевчук,0.002082841666314244
Довженко,0.0020760878817737325
Гоголь,0.002050601902375578
Кропивницький,0.0020234593343165424
Рибак,0.002009187185853575
Скрипаль,0.001990454990995931
Лукаш,0.0019881612528500976
Франко,0.001972869665211204
Гончар,0.0019105564455827143
Зварич,0.0019096644363037784
Дорошенко,0.0018762778032921951
Грицак,0.0018705434579276102
Полторак,0.0018637896733870991
Сущенко,0.0018509192537910304
Матвієнко,0.001820463508410235
Керч,0.0018067010795352314
Діденко,0.0017813425300340665
Щербань,0.0017359774867053504
Стус,0.0017338111784565072
Присяжнюк,0.0017107463671011765
Дуда,0.0017066686103974714
Шухевич,0.001696729078432191
Мельничук,0.0016726448279009345
Ковальчук,0.0016611761371717643
Маркевич,0.0016485605773696775
Антоненко,0.0016153013742550846
Піскун,0.00159809833816133
Чорновіл,0.0015842084793893352
Качинський,0.001561525957724977
Приходько,0.001559104789682152
Бондар,0.0015498024072018255
Фесенко,0.0015425389030733513
Мосійчук,0.0015097894195467217
Бродський,0.0014862148886034278
Чайковський,0.0014706684411705535
Корнієнко,0.0014697764318916179
Рубан,0.001469266712303655
Продан,0.001461620918484208
Вовк,0.001459327180338374
Кольченко,0.0014585626009564294
Макаренко,0.001458180311265457
Гриб,0.0014402126957897576
Кобзар,0.0014398304060987853
Литвиненко,0.0014193141926832702
Романюк,0.0013973962504008567
Малиновський,0.0013743314390455262
Горбатюк,0.001372037700899692
Петлюра,0.0013688519534749226
Волошин,0.0013671953648140426
Мірошниченко,0.0013655387761531625
Пономарьов,0.0013628627483163562
Марков,0.0013545798050119558
Медведько,0.001346934011192509
Смолій,0.0013330441524205146
Гончаренко,0.001328201816334865
Донець,0.001323614340043197
Хома,0.0012978735008510602
Костюк,0.001293286024559392
Кравцов,0.0012818173338302223
Цушко,0.0012769749977445727
Грін,0.0012615559802086889
Барбара,0.0012611736905177163
Павловський,0.0012544199059772053
Луганський,0.0012519987379343805
Фоменко,0.0012336488327677087
Семенченко,0.0012290613564760408
Куліш,0.0012239641605964096
Білецький,0.0012234544410084465
Степаненко,0.0012152989276010369
Коцюбинський,0.0012029382275929314
Коморовський,0.0011998799100651528
Таран,0.0011993701904771897
Павлюк,0.0011811477152075087
Сагайдачний,0.0011622880904528737
Мудрий,0.0011617783708649106
Безсмертний,0.0011607589316889844
Попович,0.0011597394925130582
Гетьман,0.0011336163636299491
Семенюк,0.001127882018265364
Деркач,0.0011260979997074932
Зозуля,0.0011254608502225393
Данилишин,0.0011225299625917515
Іллєнко,0.0011217653832098068
Балог,0.0011166681873301758
Черненко,0.001108512673922766
Василенко,0.0011069835151588767
Каськів,0.0011048172069100335
Чалий,0.001103925197631098
Чаус,0.0011025234687641996
Ткачук,0.0010832815543185923
Білоус,0.001081752395554703
Скоропадський,0.0010780569285419703
Чайка,0.0010749986110141917
Котляревський,0.001070283704825533
Юрченко,0.0010653139388428928
Козловський,0.001061236182139188
Рябошапка,0.0010597070233752985
Мазур,0.0010583052945084
Розенко,0.0010490029120280733
Шептицький,0.0010473463233671933
Шаповал,0.0010461994542942763
Кулик,0.0010425039872815436
Левицький,0.0010344759037711248
Назаренко,0.0010328193151102447
Великий,0.0010296335676854753
Лубківський,0.0010267026800546873
Тимощук,0.0010242815120118627
Стельмах,0.0010144694099435728
Артеменко,0.0010049121676692647
Андрухович,0.0009866896923995834
Шлапак,0.0009861799728116205
Гармаш,0.0009851605336356943
Бабченко,0.0009754758614643951
Кучер,0.0009747112820824507
Демчишин,0.0009580179655766588
Винниченко,0.0009473138542294336
Соколовський,0.0009418343686588301
Слободян,0.0009341885748393835
Харченко,0.0009260330614319738
Ковальов,0.0009210632954493336
Сидоренко,0.0009069185768833574
Івченко,0.0009032231098706248
Чорний,0.000901311661415763
Руденко,0.0008940481572872889
Береза,0.0008934110078023353
Лобода,0.0008932835779053443
Давиденко,0.0008872943727467777
Терещенко,0.0008810503077942296
