name,freq_in_corpus
Володимир,0.0777608758934737
Олександр,0.06785901071238142
Віктор,0.05633403143191485
Сергій,0.055991595198828084
Андрій,0.045482335618486754
Микола,0.03802948764589156
Петро,0.03752106703779852
Юрій,0.03747527179920592
Іван,0.03277967102875211
Ігор,0.03144160892472188
Дмитро,0.030541124998462097
Олег,0.026751335355493212
Михайло,0.02550009728544596
Василь,0.022110875790690505
Олексій,0.021392544762428328
Павло,0.02007093156042344
Віталій,0.017601820522759614
Євген,0.015985248600329287
Анатолій,0.015249066774992012
Роман,0.013798946525912332
Борис,0.012903789800872789
Тарас,0.01251424989379774
Богдан,0.012134616711806653
Леонід,0.012129196050911655
Максим,0.011439557141529031
Валерій,0.010966090450252113
Геннадій,0.007971175305765566
Костянтин,0.007959866685622553
Денис,0.007828649308095353
Ярослав,0.007825191300283025
Вадим,0.007811733107716133
Григорій,0.007675562367646952
Степан,0.0073807905665637715
Владислав,0.0067860132228436155
Юлій,0.006579373891139457
Руслан,0.006293480758763599
Артем,0.00617945996062743
Валентин,0.006172450485332173
Георгій,0.0061340385607141674
Антон,0.005989549909961283
Бойко,0.0050489717850084785
Русудан,0.004848717269276985
Арсен,0.004700554132998935
Ян,0.004512419816074253
Кирило,0.004368118084662575
Житомир,0.003888483055125831
Ілля,0.0038722210724408367
Федір,0.0038101638511601663
Данило,0.0036507216531107348
Давид,0.003574084723215931
Артур,0.0035275418072554287
Святослав,0.0034265119033331337
Адам,0.003374922165160046
Семен,0.0031923954284715696
Яків,0.0030617388089679907
Олесь,0.00245013872453922
Микита,0.002382193544010535
Марко,0.002195554581815508
Лев,0.0021424694889127663
Омелян,0.0019710644530260965
Мирослав,0.0019354563185261938
Остап,0.001802837045939943
Євгеній,0.0017566679686618547
Альберт,0.0017245178419742783
Нестор,0.001713209221831265
Аркадій,0.001688162030109549
Єгор,0.0016284413005939642
Мир,0.0015279721546952894
Володар,0.0014368489758569563
Іоанн,0.0013913341162730918
Мирон,0.001339183620076384
Олекса,0.0012477800622262406
Матвій,0.0012258170396344374
Ростислав,0.0012048820734192717
Влад,0.0011640401973655777
Пилип,0.0011489931903984271
Варфоломій,0.0011170299830520582
Всеволод,0.001083758340317241
Гнат,0.0010668421399380225
Любомир,0.0010459071737228566
Тимофій,0.0010290844330142414
Лука,0.0010220749577189848
Борислав,0.0009602981154501252
Орест,0.0009535690191666792
Теодор,0.0009476810599186638
Гліб,0.0009365593591168569
Домінік,0.000898801652193076
Кузьма,0.0008902968221681649
Макар,0.0008577728567981752
Жадан,0.0008095476667668112
Маркіян,0.0007809490075621652
Юхим,0.0007631916701475157
Левко,0.0007422567039323499
Юліан,0.0007345930109428696
Панас,0.0007267423986121824
Родіон,0.0007212282780465807
Тур,0.0007167422138576164
Тимур,0.0007142188027513244
Світ,0.0007121626899980491
Сокіл,0.0007042186179967585
Мартин,0.0006712273542737518
Славута,0.0005974876741676546
Потап,0.0005655244668212854
Онуфрій,0.0005437483635706889
Захар,0.0005054298986232874
Переяслав,0.0004615038534396806
Мстислав,0.00045916736167459524
Бажан,0.0004456157094370995
Величко,0.00044337267734261747
Зорян,0.000438138935788826
Пантелеймон,0.00042355922717469274
Ізяслав,0.00041767126792667736
Іларіон,0.0004153347761615919
Болеслав,0.00041468055846736795
Гаврило,0.00040654956712487053
Троян,0.000392343697193151
Никифор,0.0003668292071184177
Северин,0.00036552077172996984
Мусій,0.000363558118647298
Гордій,0.0003553336676341972
Дарій,0.00035383831290454254
Мовчан,0.00034897841003316476
Богуслав,0.0003424362330909254
Фауст,0.00033271642734816997
Сологуб,0.0003297257178888606
Христофор,0.0003219685652287768
Спас,0.000314865630262917
Назарій,0.0003136506545450726
Радослав,0.0003100991870621427
Августин,0.000307949614638264
Соловей,0.00030056630066059396
Маврикій,0.00029729521218947426
Лаврін,0.00029187455129447607
Кий,0.0002882296241409427
Азар,0.0002772013830097393
Кіндрат,0.00027579948795068807
Святополк,0.0002702853673850864
Тихон,0.0002668273595727599
Корній,0.0002616870776895718
Ярош,0.00025346262667647106
Стоян,0.00022579856417785914
Чеслав,0.00022318169340096341
Драган,0.00022168633867130873
Серафим,0.0002205648226240677
Вернидуб,0.00021916292756501643
Куйбіда,0.00021888254855320616
Лук,0.0002178544921765686
Дан,0.00021589183909389683
Май,0.00021177961358734637
Герасим,0.00021065809754010535
Данко,0.00020402246092726263
Веремій,0.00020327478356243526
Улас,0.00020009715476191907
Божко,0.00019514379221993787
Зиновій,0.0001899100506661464
Никодим,0.000188695074948302
Аврелій,0.00018804085725407808
Аскольд,0.00018448938977114817
Колодій,0.00018149868031183875
Ждан,0.00017533034205201314
Свирид,0.00017262001160451402
Амвросій,0.0001696293021452046
Мечислав,0.000162339447838138
Захарій,0.00015121774703633116
Терентій,0.00014944201329486622
Демид,0.00014252599767021324
Ус,0.00013990912689331751
Флор,0.00013953528821090388
Устим,0.00013673149809280131
Боян,0.00013205851456263038
Воїслав,0.0001312173775271996
Хорив,0.0001271986116912526
Курило,0.00012495557959677056
Рафаїл,0.00012103027343142698
Киян,0.00011972183804297913
Рід,0.00011944145903116887
Архип,0.00011747880594849707
Малик,0.00010514212942884583
Охрім,0.00010374023436979455
Каленик,9.056242081471255e-05
Немир,8.355294551945616e-05
Ратибор,7.953417968350916e-05
Радомир,7.86930426480784e-05
Щек,7.859958297747498e-05
Зіновій,7.831920396566473e-05
Подолян,7.5702333188769e-05
Радован,7.205740603523567e-05
Володислав,7.1683567352822e-05
Анастас,6.925361591713313e-05
Аврам,6.878631756411604e-05
Святогор,6.831901921109895e-05
Осмомисл,6.738442250506477e-05
Славомир,6.598252744601348e-05
Гервасій,6.495447106937588e-05
Одинець,6.177684226885964e-05
Тодось,5.9440350503774185e-05
Адріян,5.8973052150757094e-05
Царук,5.841229412713658e-05
Євстафій,5.560850400903402e-05
Всеслав,5.140281883188018e-05
Ярополк,5.028130278463916e-05
Яромир,4.6449456289899014e-05
Горун,4.588869826627849e-05
Світозар,4.495410156024432e-05
Андрон,4.43933435366238e-05
Атанас,4.411296452481355e-05
Конон,3.9626900335849456e-05
Доброслав,3.8598843959211854e-05
Порфир,3.822500527679818e-05
Зореслав,3.6823110217746906e-05
Собібор,3.6729650547143485e-05
Ладислав,3.626235219412639e-05
Яр,3.420623944085119e-05
Грива,3.2430505699386235e-05
Станислав,3.102861064033495e-05
Теодозій,3.102861064033495e-05
Братко,2.8972497887059746e-05
Пимен,2.803790118102556e-05
Ясен,2.7570602828008464e-05
Нагнибіда,2.710330447499137e-05
Ярема,2.542103040412984e-05
Авксентій,2.355183699206147e-05
Звенигор,2.3271457980251214e-05
Рогволод,2.3271457980251214e-05
Рудан,2.280415962723412e-05
Світовид,2.2336861274217026e-05
Здоровега,1.953307115611447e-05
Олелько,1.7944256755856356e-05
Автоном,1.672928103801192e-05
Хорошко,1.672928103801192e-05
Тихомир,1.6168523014391407e-05
Станимир,1.579468433197773e-05
Будимир,1.5233926308357221e-05
Родан,1.4860087625943546e-05
Добромир,1.4766627955340127e-05
Брячислав,1.4673168284736713e-05
Авакум,1.4392789272926454e-05
Ревун,1.336473289628885e-05
Радим,1.2523595860858083e-05
Вратислав,1.214975717844441e-05
Драгомир,1.196283783723757e-05
Радко,1.140207981361706e-05
Ладимир,1.093478146059997e-05
Дорофій,1.0654402448789714e-05
Хотимир,1.0654402448789714e-05
Далібор,1.0467483107582876e-05
Молибог,1.0374023436979455e-05
Милослав,1.0280563766376037e-05
Вишеслав,9.719805742755526e-06
Ладомир,9.532886401548688e-06
Євлампій,9.439426730945272e-06
Судислав,9.159047719135014e-06
Собіслав,8.87866870732476e-06
Вишата,8.598289695514505e-06
Найден,8.504830024911087e-06
Ратислав,8.037531671893993e-06
Атрей,7.850612330687157e-06
Татомир,7.757152660083738e-06
Чернин,7.757152660083738e-06
Рава,7.66369298948032e-06
Полель,7.476773648273482e-06
Божедар,7.3833139776700635e-06
Родослав,7.289854307066645e-06
Братислав,6.635636612842716e-06
Маломир,6.448717271635878e-06
Яровит,6.448717271635878e-06
Горислав,6.168338259825622e-06
Гостомисл,6.168338259825622e-06
Межамир,6.168338259825622e-06
Остромир,6.074878589222204e-06
Ярчик,6.074878589222204e-06
Дар,5.981418918618785e-06
Милован,5.981418918618785e-06
Цвітан,5.794499577411949e-06
Любослав,5.5141205656016935e-06
Вогнедар,4.953362541981183e-06
Пересвіт,4.953362541981183e-06
Воротислав,4.766443200774344e-06
Квітан,4.766443200774344e-06
Добрик,4.3926045183606715e-06
Добриня,4.3926045183606715e-06
Дій,4.205685177153834e-06
Крилач,3.831846494740159e-06
Перелюб,3.738386824136741e-06
Твердислав,3.738386824136741e-06
