name,freq_in_corpus
Юлія,0.06985318871902185
Марія,0.05107811126396049
Олена,0.04485041484784704
Ірина,0.040416962625288474
Ольга,0.040274080600005306
Тетяна,0.03349793216201846
Катерина,0.032281538283059075
Наталія,0.031963214832925996
Олександра,0.02759330085612388
Оксана,0.027198478622542727
Анна,0.025076427658547316
Світлана,0.02243405852283487
Ганна,0.0214898359353994
Людмила,0.02000854131045042
Софія,0.01949928701237257
Рада,0.019065267055041166
Надія,0.01756310912551544
Марина,0.015585204629504818
Галина,0.015027901508765372
Вікторія,0.014616957630738553
Леся,0.013977149623718337
Валентина,0.011920217458856403
Ніна,0.010970304879263641
Лариса,0.010826158411278848
Алла,0.010180660412101337
Віра,0.010052951699237617
Єлизавета,0.009748221008146962
Валерія,0.009249398362357485
Зірка,0.008704107447283435
Анастасія,0.008566915414157559
Інна,0.008524872694328662
Кароліна,0.007944493494284631
Марта,0.007708674930432317
Євгенія,0.007087833563936414
Сара,0.006834312802261408
Тереза,0.006522627676311836
Тамара,0.005711487683221976
Уляна,0.005671973848796321
Лідія,0.0054557541468191325
Емма,0.0053745137032399845
Єва,0.005270513291031658
Аліна,0.005252178871858155
Руслана,0.005078634111060674
Діана,0.005047339154195555
Аліса,0.0049338554217250715
Ілона,0.004834912780323229
Христина,0.0047467179018851665
Маргарита,0.004713842391643021
Ліна,0.004566218706228771
Жанна,0.004505209345875559
Романа,0.004435032775935595
Лілія,0.004420491684866953
Ксенія,0.004384455067870755
Тіна,0.004011760581567971
Олеся,0.003945061229057464
Зоя,0.00390681183733343
Венера,0.003691540467382457
Соломія,0.0034127308516750305
Дарина,0.003234760541421877
Яна,0.0031219090303022043
Гелена,0.0030441458041525144
Варвара,0.002859537169715851
Антоніна,0.0027858833823464287
Феодосія,0.002719500140511327
Поліна,0.002590526984945987
Ніка,0.002572192565772483
Кіра,0.002554174257274384
Мирослава,0.002550697039844926
Моніка,0.002515924865550349
Раїса,0.0024470127383120054
Роза,0.0022895896219601933
Іванна,0.002151765367483506
Вероніка,0.002117941525215145
Неля,0.0020246888759705975
Віталія,0.00195735730210928
Віта,0.001928907341322808
Клара,0.0018748524158285111
Анжеліка,0.0018669496489433798
Емілія,0.0018277519251931294
Ада,0.001660529377903755
Меланія,0.0016576843818251075
Зінаїда,0.0016200672114518833
Павла,0.0016115322232159415
Дарія,0.001589404475937574
Калина,0.0015824500410786591
Анатолія,0.0015786567129737962
Орися,0.0015754956062197436
Либідь,0.0015362978824694934
Афіна,0.001528395115584362
Елеонора,0.0014955196053422165
Станіслава,0.001495203494666811
Анжела,0.001483191289001412
Мая,0.001466437423204934
Василина,0.0014402002371462987
Роксолана,0.0014338780236381936
Святослава,0.0014183886005433367
Сільвія,0.001373816995311197
Еріка,0.0013324064968331098
Марічка,0.0012843576741715125
Таїсія,0.00128119656741746
Лада,0.0012808804567420549
Зоряна,0.0012704488044536818
Белла,0.0012590688201390928
Елла,0.0012511660532539617
Клавдія,0.0012404182902901835
Регіна,0.001199640013162907
Влада,0.0011964789064088542
Діна,0.0011696094989994085
Богдана,0.0011636033961667086
Одарка,0.0011560167399569828
Аврора,0.0011370500994326682
Євдокія,0.0011218767870132163
Фаїна,0.001022301924260564
Інга,0.0010204052602081324
Клеопатра,0.0010162958214278643
Стелла,0.001014399157375433
Домініка,0.0010102897185951646
Ванда,0.001000490287657602
Сніжана,0.0009840525325365292
Ангеліна,0.0009685631094416722
Олівія,0.0009612925639073517
Аделаїда,0.0009584475678287043
Ірма,0.0009549703503992466
Стефанія,0.0009467514728387104
Лоліта,0.0009435903660846578
Владислава,0.0009401131486552001
Магдалина,0.00091419207327197
Агата,0.0009081859704392703
Камілла,0.0008531827129187576
Констанція,0.0008500216061647052
Явдоха,0.0008490732741384895
