name,freq_in_corpus
Іванович,0.09864301493181851
Миколайович,0.05887927391240957
Васильович,0.05416590540413348
Михайлович,0.049852084382952876
Петрович,0.04859900011626553
Володимирович,0.046488688100128614
Олександрович,0.04209643396947197
Федорович,0.03227014946582437
Григорович,0.03150888693267485
Андрійович,0.02704650437472201
Олексійович,0.02210983219005541
Сергійович,0.0212009308625981
Павлович,0.0203741536144745
Анатолійович,0.019140446939540062
Степанович,0.01908231416428137
Вікторович,0.018229700127153903
Дмитрович,0.01620335767527954
Ілліч,0.014073668067389723
Семенович,0.012784596844589864
Юрійович,0.012567752365450303
Антонович,0.01152966709297368
Борисович,0.010776709242003971
Якович,0.0107739410146107
Леонідович,0.00867654739297571
Абрамович,0.00841910224540151
Данилович,0.008062923654133976
Йосипович,0.007433613293397036
Валерійович,0.007104194233597788
Максимович,0.007040525003552555
Романович,0.0069408688173948
Віталійович,0.006750783869723525
Костянтинович,0.006537630360441659
Євгенович,0.006161151434956803
Георгійович,0.00606703170358559
Богданович,0.005456176192137125
Маркович,0.0053703611429457235
Ігорович,0.005129525359731148
Олегович,0.004910835395662739
Ібрагімович,0.004767810313677071
Давидович,0.004766887571212648
Прокопович,0.004471609982597075
Тимофійович,0.004300902626678697
Валентинович,0.004189250788483434
Юхимович,0.004031461827066988
Пилипович,0.0038026216958899186
Кирилович,0.0037574073151331595
Гаврилович,0.0034270655128694877
Янович,0.0033532461157155945
Микитович,0.0033200273869963422
Макарович,0.003262817354202075
Карпович,0.0032120665186587743
Ярославович,0.003178847789939522
Станіславович,0.003129942439325068
Леонтович,0.003105028392785629
Геннадійович,0.003057045784635599
Матвійович,0.0029297073245451327
Савич,0.002817132743885446
Адамович,0.002794064182274854
Кузьмич,0.002640888933180526
Гнатович,0.002591060840101648
Трохимович,0.002396362180108255
Карлович,0.002350225056887072
Стратонович,0.0022385732186918084
Аркадійович,0.002040183588840721
Леонтійович,0.0019995829204060797
Сидорович,0.0019174588410723733
Захарович,0.001886085597281969
Омелянович,0.001848253156240599
Мартинович,0.0017735110166222819
Рюрикович,0.0017605926221203507
Никифорович,0.0017476742276184194
Опанасович,0.0017421377728318776
Климович,0.0016978461345395417
Миронович,0.0016904641948241518
Панасович,0.0016904641948241518
Лукич,0.0016406361017452743
Всеволодович,0.0016249494798500719
Єгорович,0.0016240267373856482
Якимович,0.0016064946305615988
Александрович,0.0015243705512278927
Стефанович,0.0014570103513249653
Кіндратович,0.001402568545923969
Герасимович,0.0013850364390999195
Тарасович,0.0013435130282008546
Мойсейович,0.0013084488145527554
Тихонович,0.0012982986474440951
Денисович,0.0012872257378710112
Наумович,0.0012540070091517591
Осипович,0.0012346294173988623
Лазарович,0.0012337066749344386
Платонович,0.001216174568110389
Остапович,0.0012087926283949996
Митрофанович,0.0011820330969267135
Едуардович,0.001160810020244969
Вадимович,0.00113589597370553
Теодорович,0.0011183638668814805
Владиславович,0.0011128274120949387
Антипович,0.0010694585162670264
Терентійович,0.0010150167108660302
Гордійович,0.0010094802560794882
Артемович,0.0009568839356073395
Федотович,0.0009190514945659693
Зіновійович,0.0009181287521015456
Євгенійович,0.0008987511603486487
Глібович,0.0008683006590226676
Іларіонович,0.0008618414617717021
Сильвестрович,0.0008304682179812974
Якубович,0.000793558519404351
Кузьмович,0.0007751036701158776
Ігнатович,0.0007501896235764387
Назарович,0.0007446531687898967
Адольфович,0.0007428076838610493
Харитонович,0.0007040525003552556
Євдокимович,0.0006957478181754426
Корнійович,0.0006883658784600532
Євграфович,0.0006689882867071563
Самійлович,0.000664374574385038
Мирославович,0.0006311558456657862
Варфоломійович,0.0006154692237705838
Санич,0.0006154692237705838
Лаврентійович,0.0006145464813061603
Святославович,0.0006034735717330761
Устиянович,0.0006025508292686524
Мусійович,0.0005979371169465342
Никандрович,0.0005960916320176869
Казимирович,0.0005887096923022975
Юзефович,0.0005868642073734502
Спиридонович,0.0005822504950513319
Соломонович,0.000579482267658061
Архипович,0.0005693321005494006
Віссаріонович,0.0005536454786541984
Єфремович,0.0005462635389388092
Свиридович,0.0005462635389388092
Мефодійович,0.0005444180540099617
Купріянович,0.0005407270841522671
Серафимович,0.0005388815992234196
Тадейович,0.0005314996595080304
Порфирович,0.0005093538403618625
Альбертович,0.0004982809307887784
Пантелеймонович,0.0004973581883243549
Ількович,0.0004890535061445419
Феодосійович,0.0004890535061445419
Несторович,0.00048813076368011814
Вікентійович,0.0004853625362868472
Веніамінович,0.0004825943088935762
Ростиславович,0.00048167156642915253
Ісаакович,0.0004687531719272212
Савелійович,0.0004641394596051029
Онисимович,0.00045583477742529006
Юлійович,0.00044568461031662966
Яковлевич,0.0004429163829233586
Юліанович,0.00044107089799451133
Германович,0.0004401481555300877
Прохорович,0.0004364571856723931
Савович,0.00043276621581469837
Онуфрійович,0.000425384276099309
Русланович,0.00041246588159737777
Родіонович,0.00041062039666853043
Арсенович,0.0004032384569531411
Афанасійович,0.0004032384569531411
